channel1,,,,,,,,channel 2,,,,,,,,channel 3,,,,,,,,channel 4,,,,,,,,channel 5,,,,,,,,channel 6,,,,,,,,channel 7,,,,,,,,channel 8,,,,,,,,,,,,,,
mx_peak,mean,peak_ratio,median,integral,mean moobility,mean_complexity,activity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,Gesture,1,2,3,4,5,6
0.743341664,0.329017077,0.743341664,1.177172484,1.165717492,0.960260061,0.982408415,0.031071569,0.598446925,0.253400378,0.368780202,0.77945441,0.897805277,0.997098292,0.967408618,0.020627783,0.276808366,0.115224559,0.200349594,0.374276368,0.408277066,1.027942497,0.961801325,0.002799558,0.206833352,0.101301429,0.140565189,0.353016739,0.358933914,1.111371937,1.095069375,0.001878977,0.626774488,0.280591773,0.32001376,0.960380951,0.994259297,1.009077993,1.020771587,0.017088039,0.643292282,0.302555571,0.382651873,1.097794529,1.071893177,1.049849084,1.01560762,0.020162291,1,0.395419246,1,1.431241542,1.401117815,0.895292193,0.92785669,0.048038351,0.985066016,0.480379789,0.723887243,1.826662977,1.701995963,0.949107944,1.029076371,0.055329514,5,0,0,0,0,1,0
0.743341664,0.329017077,0.743341664,1.177172484,1.165717492,0.960260061,0.982408415,0.031071569,0.598446925,0.253400378,0.368780202,0.77945441,0.897805277,0.997098292,0.967408618,0.020627783,0.276808366,0.115224559,0.200349594,0.374276368,0.408277066,1.027942497,0.961801325,0.002799558,0.206833352,0.101301429,0.140565189,0.353016739,0.358933914,1.111371937,1.095069375,0.001878977,0.626774488,0.280591773,0.32001376,0.960380951,0.994259297,1.009077993,1.020771587,0.017088039,0.643292282,0.302555571,0.382651873,1.097794529,1.071893177,1.049849084,1.01560762,0.020162291,1,0.395419246,1,1.431241542,1.401117815,0.895292193,0.92785669,0.048038351,0.985066016,0.480379789,0.723887243,1.826662977,1.701995963,0.949107944,1.029076371,0.055329514,6,0,0,0,0,0,1
0.028003938,0.015920879,0.151155375,0.418798396,0.419676962,1.197303267,1.05892681,2.04E-05,0.122274049,0.060117498,0.931547058,1.639199663,1.58488292,0.840158027,1.021510792,0.00053269,0.131259122,0.064740038,1,1.669657802,1.706773794,1.036986996,1.021408262,0.000381393,0.130108179,0.061000562,0.370753044,1.601483806,1.608343893,0.940419804,0.984223533,0.000559487,0.126865954,0.060547885,0.450328943,1.581954317,1.596339517,1.018565166,1.012794293,0.000450977,0.04056966,0.01859532,0.243520362,0.477755935,0.490309199,0.990606436,0.980638801,4.79E-05,0.029387164,0.013599488,0.076881869,0.378897404,0.358529879,1.079726215,0.949568039,2.09E-05,0.017023234,0.00891832,0.05816726,0.232252676,0.235143837,0.89623409,0.970929471,1.13E-05,1,1,0,0,0,0,0
1,0.253291459,1,0.975766962,0.966479205,0.992351269,0.955474338,0.037601617,0.469514575,0.197825922,0.299117567,0.803203953,0.754824086,1.040951979,1.049729172,0.016007813,0.781868376,0.286868642,0.35160575,1.187168698,1.094573572,0.930433166,0.953847461,0.040877771,0.664275615,0.269094418,0.315170711,0.98150995,1.0267189,1.128086368,0.978591725,0.022261737,0.530357427,0.172313102,0.102782482,0.616569907,0.657439877,1.241475988,1.011530168,0.007154854,0.860652965,0.276728526,0.453943346,1.141461705,1.055898667,0.905815947,1.040878849,0.036907398,1,0.318476801,0.719125594,1.024263057,1.215195924,0.80910762,0.981324727,0.067584178,0.88987267,0.32205654,0.793520642,1.270055767,1.228869769,0.951777663,1.02862356,0.061324544,2,0,1,0,0,0,0
0.842627785,0.241128002,0.842185266,1.754590283,1.598939256,0.792952512,1.017316915,0.04786996,0.367305274,0.109529117,0.135831256,0.685354926,0.726250697,1.064291435,1.038100725,0.003977497,0.162042013,0.063685424,0.057506856,0.445314849,0.422278603,1.354701664,1.024164906,0.000737014,0.347128531,0.12936018,0.109038549,0.897855258,0.857703739,1.246297527,1.015727938,0.003356872,0.493540253,0.203225075,0.252361683,1.419005682,1.347489915,1.310409976,0.981719303,0.007953047,0.362328564,0.09384828,0.043890407,0.492970633,0.622290805,0.818955003,1.001081814,0.005417201,0.649510002,0.15899998,0.242720164,0.902834111,1.054335392,0.695352045,0.939386936,0.024603388,1,0.2067105,1,1.402074258,1.370711595,0.717039839,0.982501463,0.043206096,3,0,0,1,0,0,0
0.182784829,0.060356544,0.101303247,0.438680411,0.393183064,1.034156025,1.028158764,0.001750486,0.575875045,0.152979028,0.371987145,0.815027227,0.996549988,0.928188822,1.032706466,0.016138176,0.65650775,0.149018406,0.323402078,0.871207831,0.970749446,0.991663087,0.915555099,0.017047748,1,0.249961038,1,1.450616183,1.628304232,1.03159296,0.917563649,0.044111199,1,0.270394171,1,1.994861414,1.761407569,1.098465084,0.996004207,0.035048413,1,0.216483262,0.593463949,1.547773783,1.41026471,0.895496159,0.975908828,0.042352587,0.444970455,0.090684679,0.133619139,0.595920102,0.590750183,0.918330451,1.08995362,0.006789684,0.12597095,0.038191016,0.056067695,0.28591305,0.248790809,1.102107411,1.044149367,0.000834183,4,0,0,0,1,0,0
0.3308898,0.082375731,0.206754526,0.555884558,0.61812014,0.942029009,1.076626366,0.005127285,0.915235546,0.199882706,0.557826121,1.156369442,1.499848015,0.912239375,0.889973236,0.033056669,0.695176184,0.205313914,0.532735583,1.49060557,1.540614779,0.966164228,0.989895114,0.027520584,0.915388315,0.261552362,1,2.308266699,1.962584297,0.946210473,1.001343255,0.044632658,0.597616067,0.166363682,0.197760308,1.243364533,1.248265959,1.069879576,0.952711516,0.013098525,0.213739462,0.061971864,0.13279952,0.532551017,0.465000853,1.116397207,1.063735448,0.001707312,0.155744798,0.053667958,0.125210817,0.409215406,0.402699587,1.064970971,0.979438387,0.001453588,0.14547486,0.035031875,0.107466653,0.303742775,0.262866369,0.98210916,1.046276677,0.000769215,5,0,0,0,0,1,0
0.390796314,0.113269724,0.153831564,0.857159402,0.829825715,0.870671811,1.043790346,0.007899524,0.219381081,0.081363321,0.2202121,0.607952814,0.596022716,1.372148177,0.977922458,0.001031859,0.215261727,0.066486223,0.097109216,0.452472559,0.487024816,1.170036305,0.88869509,0.001184728,0.372075576,0.129326174,0.285841404,0.914827792,0.947409437,1.152600627,1.059688617,0.004361169,0.666297477,0.218708441,0.31070963,1.688753767,1.602240546,0.990740599,1.050284357,0.017286828,0.560864917,0.182033291,0.340344246,1.299801648,1.333606257,0.862770114,1.041805128,0.019226116,0.996226281,0.173326909,1,1.159987436,1.269824268,0.745143479,0.963822715,0.032530537,0.417691964,0.127493461,0.246892962,1.019044583,0.934046246,0.83588889,0.97399129,0.011009011,6,0,0,0,0,0,1
0.038058393,0.019296525,0.101244688,0.464234602,0.455140274,1.156514059,1.10656067,3.26E-05,0.153175448,0.061859402,0.632832646,1.491753571,1.459049642,0.927616768,1.010331012,0.000563773,0.233899495,0.069029908,1,1.604007304,1.628003831,0.833924379,0.931925659,0.001057357,0.185288965,0.066476744,0.789449137,1.531929367,1.567787183,0.915207135,1.006071332,0.000683348,0.164377489,0.07506871,0.487238873,1.842885475,1.770542291,1.122894854,1.169215492,0.000545393,0.098595616,0.020674832,0.083438759,0.452594927,0.487412125,0.931244958,0.881504055,9.30E-05,0.068382508,0.016401018,0.038475934,0.364193812,0.386682581,1.00042774,0.834304906,5.01E-05,0.021574538,0.010404117,0.069535682,0.248400942,0.245382072,1.112170108,1.060086874,1.20E-05,1,1,0,0,0,0,0
0.920068534,0.254902592,1,1.779652503,1.644120285,0.762742429,1.008659742,0.051255987,0.414130204,0.110640713,0.441632967,0.698531619,0.713585443,1.087856313,0.943292058,0.00398854,0.176479366,0.073253316,0.127085413,0.485502053,0.472429121,1.558190348,0.946394117,0.000705063,0.328309157,0.139861216,0.123361896,0.930453864,0.902045319,1.200088232,1.04636672,0.004247342,0.599714846,0.196716726,0.272206258,1.23383562,1.268692233,1.018895479,0.998979185,0.011374973,0.39122362,0.104538923,0.380577577,0.546579319,0.674239411,0.880133883,0.969695633,0.006577549,0.8126909,0.164419795,0.537570226,0.883633879,1.060499892,0.712193474,0.983037806,0.027401285,0.697988993,0.196029121,0.712864355,1.441811142,1.264388296,0.779899842,1.103574739,0.032014668,2,0,1,0,0,0,0
